Category,Sub-Category,Product Name,similar_products,similar_products_vectors,top_similar_products,sku
Office Supplies,Binders,Avery Reinforcements for Hole-Punch Pages,Office Supplies Binders Avery Reinforcements for Hole-Punch Pages,"[-0.12168034  0.04023167 -0.17927533 -0.4920102   0.18497832 -0.1182305
 -0.15698235  0.23395234  0.11417434  0.0548555   0.14327633 -0.2531515
 -0.02439184  0.21484333  0.18530166  0.09376833  0.18654335 -0.25719318
  0.03793332 -0.299945    0.0039265  -0.1280175  -0.09943417 -0.00597406
  0.09046333 -0.22002299  0.0311115  -0.10459165 -0.05945     0.07830533
  0.11791134  0.12058983  0.11132767  0.02873983 -0.13542984  0.26205
  0.0936      0.14011584  0.02906433 -0.10770983  0.0444975  -0.19815081
 -0.03936539 -0.06540303 -0.0028795   0.08484533 -0.34357834 -0.410787
  0.17412364 -0.14258407  0.38521516 -0.25705183 -0.023767    0.40630332
  0.08573084 -1.2442384  -0.06981184 -0.21527667  1.0051757   0.24711598
 -0.015045    0.14124666 -0.11910854  0.44015995  0.35393167 -0.2073655
  0.3162133   0.22559933  0.12830283  0.02865717  0.0740471  -0.00182983
 -0.02424882 -0.30042467  0.30259266  0.2945217   0.19454716  0.22752666
 -0.5887167   0.14440933  0.04242167  0.02052217 -0.5614228   0.040395
 -0.45147833  0.14413284  0.43372834 -0.34318164 -0.11386478 -0.34977248
  0.08001667  0.01405718  0.2685635  -0.09213217  0.08587334 -0.04926183
  0.09987815 -0.24654333  0.23976333  0.42555335]","['sku1198', 'sku0095', 'sku0766', 'sku0692', 'sku0875']",sku1285
Office Supplies,Art,Colorific Watercolor Pencils,Office Supplies Art Colorific Watercolor Pencils,"[-0.09029039  0.633152   -0.14941402 -0.00486344  0.532246   -0.20522091
 -0.002326    0.20916879 -0.027654    0.2996886  -0.11728746 -0.3489058
  0.0723221   0.0530038  -0.2097826   0.36096603  0.38149     0.018789
  0.384056   -0.52151996 -0.1134398   0.12265401  0.218821   -0.40138802
  0.18537399 -0.326387   -0.082906   -0.33809358 -0.3172366  -0.410364
 -0.3025634  -0.038802   -0.3447952   0.08927979 -0.490624    0.28594798
 -0.23325801 -0.1454098   0.0476298  -0.515146    0.1008934  -0.493946
 -0.406626   -0.31858498 -0.20647919 -0.26860362 -0.1495398  -0.3377848
  0.0995504  -0.2189153  -0.12581201  0.10979398  0.06908841  0.681596
 -0.290016   -1.3643459  -0.0053342  -0.29009402  0.99000996  0.0025212
  0.179112    0.663592   -0.27193332  0.3235286   0.53636    -0.0877838
  0.64745605  0.11812542  0.103754    0.06319861 -0.12710801  0.3702662
  0.172194   -0.20160398  0.1997668   0.077978    0.28759998  0.4585
 -0.71052206 -0.0205174   0.3431426   0.2343808  -0.21955338  0.03209998
 -0.68348205 -0.15612459  0.17718    -0.0915096   0.17644879 -0.43814602
  0.2097218  -0.3909218   0.51231825 -0.05816197 -0.39406002  0.00974601
 -0.12025201 -0.544912    0.15375201 -0.06455139]","['sku1115', 'sku1503', 'sku0383', 'sku0132', 'sku0374']",sku1287
Office Supplies,Art,BIC Liqua Brite Liner,Office Supplies Art BIC Liqua Brite Liner,"[-1.33450329e-01  2.60394990e-01  1.55463323e-01 -2.19973937e-01
  3.82116675e-01 -4.06933352e-02 -6.45699948e-02  8.16265047e-02
 -1.93918329e-02  4.44775492e-01  3.82521152e-02 -1.50287494e-01
  5.90001524e-04  4.73265678e-01 -2.03199998e-01  4.25883345e-02
  3.19234997e-01  3.04751601e-02  2.30866671e-01 -2.79044330e-01
  6.59515476e-03 -1.97376668e-01 -1.40919164e-01 -2.80963808e-01
  1.06566668e-01 -1.01184666e-01 -1.08715989e-01 -4.64032650e-01
 -3.94899994e-02  5.94156282e-03  6.31138310e-02  1.85289159e-01
 -2.31563672e-01  2.71206647e-01 -2.49266718e-02  2.94953674e-01
 -6.46541715e-02  8.62734914e-02  1.38783334e-02 -5.46118319e-01
  2.52905488e-01 -1.99671641e-01 -2.32841656e-01 -1.10972501e-01
  1.13670669e-01  4.39121239e-02 -8.99564922e-02 -4.50750351e-01
  2.75818676e-01 -3.62100415e-02  2.24653661e-01  4.71201658e-01
  1.10730082e-02  2.92040676e-01 -1.40188172e-01 -1.15121889e+00
  2.41676494e-01  1.97269678e-01  1.01816463e+00  2.69276593e-02
 -3.94728333e-02  7.63069913e-02 -2.36266494e-01  3.42795521e-01
  1.04096681e-01  1.00319684e-02  4.30315018e-01  1.08000010e-01
  2.00591639e-01 -3.64028215e-02 -1.09500194e-03 -5.45681715e-02
  1.36299925e-02 -1.20534159e-01  4.71233316e-02 -1.54301658e-01
  2.92671651e-01  1.48121670e-01 -6.89323246e-01 -4.99761589e-02
  6.81181625e-02 -2.63281614e-02 -1.72604501e-01  2.18126670e-01
 -3.47128302e-01 -7.39407316e-02  5.87660015e-01 -1.49407670e-01
  2.33218983e-01 -2.27008343e-01  9.77599993e-02  1.30833328e-01
  4.70285177e-01 -1.24415003e-01 -4.17698354e-01  7.45016709e-02
  3.81383225e-02 -3.58576536e-01  2.06665024e-01  1.17527671e-01]","['sku1185', 'sku0314', 'sku1115', 'sku1652', 'sku0374']",sku1290
Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1""","Office Supplies Binders ACCOHIDE 3-Ring Binder, Blue, 1""","[-0.1490562   0.09935    -0.22037499 -0.5797758   0.43812197 -0.3439644
 -0.142869    0.313996   -0.03860879  0.08757061 -0.0044324  -0.25161782
  0.23546961  0.426394    0.24180141 -0.08584657  0.48548803 -0.0945458
  0.451322   -0.576388   -0.0352198  -0.0313604  -0.13871899 -0.060036
  0.03242599  0.02012041 -0.0404804  -0.40251398 -0.270702    0.018284
  0.2782726  -0.104874   -0.0878     -0.016752   -0.176718    0.43544397
  0.17545359  0.2966162   0.38859802 -0.0653582   0.213624   -0.4824268
 -0.16896799 -0.21503457 -0.004616   -0.0611096  -0.25282    -0.127852
  0.06405038 -0.05695201  0.02922439 -0.329582    0.08327039  0.666034
 -0.04658599 -1.3769162  -0.2690942   0.184752    1.141372    0.24822322
  0.19236201  0.064566   -0.1767219   0.470478    0.41886598 -0.20838702
  0.63317     0.204041    0.3161788  -0.0810974   0.04001705  0.1102674
 -0.2114292  -0.198918    0.18869162  0.41934806  0.09499519  0.101238
 -0.533698    0.2884466   0.306666   -0.00306799 -0.6209826   0.011649
 -0.39874998 -0.14946459  0.25064543 -0.16159259  0.11656372  0.04662799
  0.1701642  -0.20690855  0.22466822 -0.12381399  0.07765402  0.04587201
 -0.215204   -0.0521524   0.02842601  0.26649863]","['sku0352', 'sku0799', 'sku1198', 'sku0990', 'sku0654']",sku1291
Office Supplies,Paper,Xerox 1973,Office Supplies Paper Xerox 1973,"[-2.4032301e-01 -1.5749998e-02  3.8382448e-03  7.1035251e-02
  2.6365525e-01 -4.6919000e-01  3.9322510e-02  3.2689050e-01
  1.6218650e-01  1.8251576e-01  8.5578002e-02 -2.5753164e-01
  1.5037404e-01  3.6818752e-01 -2.4232826e-01 -2.5726375e-01
  5.3191000e-01  7.0882753e-02  3.6146000e-01 -5.8367002e-01
 -4.1832257e-02  1.1245750e-01  1.6279506e-02  2.5738752e-01
 -2.1933001e-01 -4.5168701e-01  1.5933500e-01 -2.7030075e-01
 -4.6366751e-01 -1.5116750e-01  4.3068075e-01  3.9206249e-01
 -2.7006751e-01 -1.2753750e-01 -4.7155249e-01  3.3237749e-01
  7.6539993e-02 -7.3067248e-02  2.6609749e-01 -4.3206251e-01
 -8.7329999e-02 -4.4424748e-01 -3.5692251e-01 -3.4254000e-01
 -1.5167999e-01  3.9675489e-02 -1.6122748e-01 -3.0448997e-01
 -2.4209702e-01 -4.5844001e-01  2.9263049e-01 -1.7106251e-01
  5.2227750e-02  7.5650227e-01 -6.5029994e-02 -1.5150200e+00
 -3.8243026e-01 -4.7055002e-02  1.4239700e+00  1.1609003e-02
 -8.7408304e-02 -2.1245250e-01 -4.4393975e-01  3.6853150e-01
  1.8426001e-01 -2.7576250e-01  4.9641499e-01  2.9115748e-01
  5.0292748e-01  2.2194077e-01  3.8728803e-02  2.1218273e-01
  3.0972006e-02 -2.9950252e-01  2.2171150e-01  1.0124998e-01
  2.3267749e-01  3.2435751e-01 -1.0018024e+00  3.0188078e-01
  6.1925751e-01  1.0820501e-01 -4.6360075e-01  4.0998924e-01
 -1.0180351e+00 -4.4175327e-01  4.0242749e-01 -1.9083151e-01
  1.0234974e-03 -9.3357757e-02  4.1245997e-01 -4.1873757e-02
  2.8908527e-01  2.8423579e-02 -3.6909500e-01  9.9650174e-03
  3.1374598e-01 -6.7124993e-02  3.5218501e-01  2.9398325e-01]","['sku1801', 'sku0056', 'sku0063', 'sku1830', 'sku1530']",sku1294
Office Supplies,Binders,GBC Binding covers,Office Supplies Binders GBC Binding covers,"[-2.64820337e-01 -1.23491652e-01  1.16880827e-01 -1.27128914e-01
  3.10388803e-01 -2.40565181e-01 -2.29991660e-01  3.95926625e-01
  1.54521361e-01  1.20885499e-01  1.82656333e-01 -3.60410929e-01
  1.77701831e-01  2.63520628e-01  1.45703167e-01  1.78493280e-02
  2.75669515e-01 -1.55263329e-02  3.00211668e-01 -4.26431656e-01
 -1.55093163e-01 -1.24729834e-01 -7.99186677e-02  1.01025067e-02
 -1.14470012e-01 -5.24248332e-02  1.95131693e-02 -2.36113310e-01
 -1.89030007e-01  1.59263656e-01  3.34941655e-01  1.07181333e-01
  7.03910412e-03  3.54933254e-02 -1.21960789e-01  3.34684998e-01
  1.88048318e-01  2.74099950e-02 -8.46667122e-03 -3.15003321e-02
  3.70008387e-02 -1.73704669e-01 -1.19529963e-02 -2.29414985e-01
  4.66669984e-02 -2.52148658e-01 -3.26255143e-01 -2.27780327e-01
 -2.86982507e-01 -1.99156344e-01  6.81295022e-02  1.23661654e-02
  6.40588328e-02  6.98433340e-01 -3.78651656e-02 -1.08792841e+00
 -1.09240502e-01 -1.60573348e-01  1.10215163e+00  1.14437498e-01
  1.90816343e-01  1.27426669e-01 -1.19864881e-01  1.92341849e-01
  5.68551660e-01 -1.46809325e-01  2.02560008e-01  1.42186835e-01
  2.28558838e-01 -2.82347828e-01  1.95915282e-01 -1.12249829e-01
  1.49059489e-01 -1.26931667e-01  2.61388347e-02  4.67049964e-02
 -4.23595011e-02 -7.38050044e-02 -6.22401655e-01  1.61702171e-01
  2.49909997e-01 -3.79233286e-02 -1.70036137e-01  1.31976679e-01
 -5.21223366e-01  3.57678384e-02  3.62769157e-01 -2.67826635e-02
 -4.55222838e-02  5.74524999e-02  6.74149916e-02  5.90068102e-03
  3.91838461e-04 -3.09331656e-01  9.86646712e-02  7.06568435e-02
  1.21773325e-01 -7.87158310e-02  3.91845018e-01  1.63423836e-01]","['sku0583', 'sku0492', 'sku1078', 'sku0134', 'sku0445']",sku1298
Furniture,Bookcases,Sauder Cornerstone Collection Library,Furniture Bookcases Sauder Cornerstone Collection Library,"[ 0.08637327  0.40839884 -0.04648723  0.100013    0.52629     0.06193333
  0.05147133  0.01418642  0.13562502  0.23874332  0.28726235 -0.4429942
 -0.01490583  0.3829333  -0.29023919  0.33998     0.51046324  0.47615814
  0.07470184 -0.34916714 -0.453221    0.10424934  0.29864115 -0.42117667
  0.38134718 -0.44015613 -0.162378   -0.20269668 -0.53278667 -0.1709
 -0.14456517 -0.06189167  0.01988666  0.17635089 -0.34939814  0.36015582
  0.0770975  -0.06089967  0.06657334 -0.3994597   0.35118768 -0.1099835
  0.14565884  0.12107831  0.0207845  -0.03747049  0.15226144  0.23081535
  0.28387168  0.00180001  0.39430165 -0.14657998 -0.08940332 -0.18717499
 -0.18175216 -0.90969497 -0.23021334 -0.28639033  0.67775494 -0.06254666
  0.1443715   0.36299834  0.057835    0.31265134  0.0043     -0.35853276
  0.33441365  0.41680518  0.29407716 -0.34712127  0.40007725  0.38004637
  0.35230002 -0.053195   -0.10432333 -0.05737099 -0.02731167  0.33076665
 -0.4529055   0.13544682 -0.053343    0.21297918  0.21890438  0.13873015
 -0.1278215  -0.06746867 -0.0845415  -0.6415423  -0.16756009 -0.1625555
  0.24141835 -0.19051467  0.70620584  0.02181334 -0.36791667 -0.43653166
  0.147118   -0.33674502  0.60274214  0.3373581 ]","['sku0001', 'sku1096', 'sku0420', 'sku1475', 'sku1618']",sku1303
Furniture,Furnishings,"Westinghouse Floor Lamp with Metal Mesh Shade, Black","Furniture Furnishings Westinghouse Floor Lamp with Metal Mesh Shade, Black","[-0.07222578  0.5864893  -0.02534477 -0.3143888   0.32256132  0.01913313
 -0.17793022  0.11552877 -0.03981666  0.39072368  0.2653051  -0.4914564
  0.08704256  0.18964557  0.13445777 -0.1180206   0.03021171  0.08814333
  0.3697489  -0.6646247  -0.12044512 -0.12583189  0.24915195 -0.20432289
  0.67226666 -0.15950643  0.14518055 -0.28267664 -0.30658633 -0.29254445
  0.22169481 -0.02402767 -0.20357093 -0.02367555 -0.01988811  0.3122058
  0.04005905 -0.1625069   0.44835404 -0.22780031  0.25294197 -0.28607878
 -0.15119523 -0.15992755 -0.299649    0.18699077 -0.347294    0.42618865
  0.1642839  -0.5227685  -0.14409083 -0.057804   -0.16822821  0.5409477
 -0.15143034 -1.1217633  -0.17454077  0.05984667  0.9526322   0.16044156
  0.10404833  0.44323307 -0.22021043  0.7070897   0.22765878 -0.19220492
  0.7888046  -0.05681856 -0.15099946 -0.53022724 -0.08805136  0.09977952
  0.35281223  0.06485367  0.16169721  0.14379354  0.41764888 -0.08928989
  0.05980854  0.18520243  0.05472222 -0.044755   -0.1361952   0.40485075
 -0.31558347 -0.10571134  0.247596   -0.2149638   0.1825378   0.09919296
  0.39112246 -0.6073122   0.14209777 -0.02235512 -0.21668045 -0.35363567
 -0.2543745  -0.29025412  0.6661589  -0.02013   ]","['sku0377', 'sku0075', 'sku1131', 'sku1279', 'sku1792']",sku1304
Technology,Phones,Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,Technology Phones Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,"[ 0.03107457  0.17427689  0.28829288 -0.10503166  0.1612578  -0.2352311
 -0.02129664 -0.13875307 -0.02322212  0.20062889  0.08984888 -0.28168055
 -0.08871765  0.09605867  0.29685    -0.11856876  0.3508611   0.08995757
  0.35077944 -0.05854067 -0.5320319  -0.20135991  0.46488434 -0.04135945
  0.6245156  -0.02335868  0.19900312 -0.01590389 -0.08991288  0.1087359
 -0.17055744  0.6296527  -0.12983     0.19641756  0.7719167   0.37165833
 -0.5414638   0.19791323  0.5502969   0.07969006  0.39043102 -0.16310327
  0.02097211 -0.20572461 -0.6498356   0.01598166  0.14984667  0.25652
  0.3074232  -0.3452511  -0.3730656   0.27248326 -0.01203057  0.28130555
  0.01395267 -1.24545    -0.16127288 -0.05455644  1.2248256   0.16573444
  0.30356243  0.19601756 -0.14925501 -0.16826278 -0.01797667  0.04140033
  0.33500946  0.00454966  0.6230489   0.21085356 -0.0742765   0.13667616
  0.2816211  -0.42935333 -0.12712455  0.19267336  0.291955    0.02308823
 -0.24764088 -0.18199576  0.7121494  -0.5348942   0.05605821  0.04739055
 -1.0456957   0.12337712  0.29073521 -0.15951782  0.16361268  0.11673966
 -0.09275766  0.16892383  0.07098888 -0.18682446 -0.16451555  0.04428777
 -0.21569091 -0.1967971   0.4449172  -0.09663445]","['sku1240', 'sku1755', 'sku1699', 'sku1066', 'sku0349']",sku1306
Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,Office Supplies Appliances Belkin 6 Outlet Metallic Surge Strip,"[-0.12450012 -0.14734526  0.13410087 -0.22130014  0.36479375 -0.49490747
 -0.17247713  0.15891749  0.35525075  0.19488063 -0.06462675 -0.347609
  0.15489312 -0.12731375  0.15478012  0.06416062 -0.10812762 -0.05014987
  0.12647274 -0.25817692  0.3821926  -0.0789455   0.0618865  -0.05567874
  0.18626873 -0.02677175  0.13621399 -0.1798975  -0.23269413 -0.23907888
  0.154416    0.14908126  0.0692021  -0.03503038 -0.12577838  0.10772737
  0.0539935  -0.0339295   0.1424768  -0.3117711   0.24673852 -0.3258676
 -0.24693549 -0.18802439  0.31440628  0.21002875 -0.11890499  0.01487251
  0.2560017  -0.24858     0.04225562  0.08341374  0.16766688  0.37026125
  0.085871   -1.0616839  -0.10222912 -0.20016976  1.1299138   0.3254516
  0.08436748 -0.0651205   0.061368    0.50622004  0.39262876  0.01063638
  0.57832503 -0.34412274 -0.03096502 -0.19669837 -0.08095013 -0.14863887
 -0.0633425  -0.08210488  0.026655    0.08711125  0.22490261  0.17371649
 -0.45343626  0.27349937  0.30045065 -0.12953675 -0.26174212  0.43031985
 -0.4009875  -0.15447336  0.38070625  0.02479401  0.09152975 -0.16140525
  0.35712117  0.22729312  0.16497615 -0.21096262 -0.36841202  0.2022195
  0.13139749 -0.16728239  0.59793997  0.2285654 ]","['sku0651', 'sku1417', 'sku0010', 'sku1347', 'sku0144']",sku1309
Furniture,Chairs,Hon Valutask Swivel Chairs,Furniture Chairs Hon Valutask Swivel Chairs,"[-0.19394897  0.173016   -0.0340385  -0.01786396  0.41013923  0.026794
 -0.1013396   0.3830352  -0.33308    -0.120588   -0.01805479 -0.3584466
  0.3358286   0.73739374  0.13998601  0.0319454  -0.3196349   0.2917096
 -0.19186601 -0.662302    0.06302681  0.0506408   0.36022678 -0.43604
  0.621736   -0.20468703 -0.287896   -0.48357257 -0.03791    -0.28500202
  0.0964798   0.393718   -0.027426    0.19704899 -0.63517106  0.387438
 -0.062342    0.18047199  0.54243404 -0.550436    0.01046981 -0.15530702
  0.252429   -0.53291404 -0.297952    0.175004   -0.508494    0.31586033
 -0.365608   -0.39097795 -0.53817606 -0.146366   -0.13445601  0.163344
 -0.15399441 -0.822093    0.07586601  0.37443578  0.536642   -0.0387928
  0.117864   -0.10273639 -0.12345     0.707322   -0.129478   -0.096964
  0.607078    0.5996566   0.010018    0.03850601  0.38793474  0.3002964
  0.55083    -0.42186198 -0.30701    -0.130264   -0.4117588   0.24677964
  0.32217997 -0.33875003 -0.00496201 -0.04782901  0.15229    -0.02531001
 -0.2506778  -0.28832     0.286898   -0.397796    0.27194762 -0.652496
  0.48881602 -0.26703     0.81307805  0.32924598  0.361072    0.11346201
 -0.097294   -0.16246799  1.0029469  -0.243592  ]","['sku0379', 'sku1451', 'sku0285', 'sku0850', 'sku0469']",sku1311
Office Supplies,Labels,Avery 517,Office Supplies Labels Avery 517,"[ 0.2679395  -0.3283275   0.163905   -0.32947475  0.30837998 -0.3403105
 -0.08173849  0.09415101  0.0121745  -0.03014725  0.2028545  -0.30022725
  0.30034125  0.2904795  -0.077405   -0.0129425   0.463355    0.01493025
  0.064935   -0.18723999  0.082057   -0.05990425  0.11905375 -0.25569502
 -0.23471752  0.046783   -0.0220625  -0.39113    -0.09322751  0.0735025
  0.28846323  0.2083275   0.06983124  0.33664    -0.30294752  0.42733747
  0.1457475   0.14148875  0.03741674 -0.4898325   0.28887498 -0.08617774
 -0.03618059 -0.11282675  0.2241475  -0.1614645  -0.13585775 -0.38154003
  0.26389545 -0.2685411   0.3770625  -0.1529525   0.02596025  0.27939004
  0.15123975 -1.8005749  -0.22534025 -0.08955251  1.1670686   0.33943897
  0.05808999  0.05010249 -0.21954276  0.45991752  0.4038275  -0.3988725
  0.399935    0.13931751  0.30142498  0.13286327  0.0206375  -0.05844475
 -0.331295   -0.25977024  0.2231875  -0.074195   -0.02641501  0.09999
 -0.77927     0.05129825  0.202975    0.05294176 -0.58306926  0.41852
 -0.6748625   0.02492675  0.3206475  -0.11128001 -0.125294   -0.14175001
  0.07446499 -0.04857139  0.11972775 -0.19108    -0.400525    0.04055276
 -0.00906026 -0.00383     0.46056998  0.04532501]","['sku0050', 'sku0256', 'sku0640', 'sku0287', 'sku0689']",sku1312
Office Supplies,Labels,Avery 477,Office Supplies Labels Avery 477,"[ 0.2679395  -0.3283275   0.163905   -0.32947475  0.30837998 -0.3403105
 -0.08173849  0.09415101  0.0121745  -0.03014725  0.2028545  -0.30022725
  0.30034125  0.2904795  -0.077405   -0.0129425   0.463355    0.01493025
  0.064935   -0.18723999  0.082057   -0.05990425  0.11905375 -0.25569502
 -0.23471752  0.046783   -0.0220625  -0.39113    -0.09322751  0.0735025
  0.28846323  0.2083275   0.06983124  0.33664    -0.30294752  0.42733747
  0.1457475   0.14148875  0.03741674 -0.4898325   0.28887498 -0.08617774
 -0.03618059 -0.11282675  0.2241475  -0.1614645  -0.13585775 -0.38154003
  0.26389545 -0.2685411   0.3770625  -0.1529525   0.02596025  0.27939004
  0.15123975 -1.8005749  -0.22534025 -0.08955251  1.1670686   0.33943897
  0.05808999  0.05010249 -0.21954276  0.45991752  0.4038275  -0.3988725
  0.399935    0.13931751  0.30142498  0.13286327  0.0206375  -0.05844475
 -0.331295   -0.25977024  0.2231875  -0.074195   -0.02641501  0.09999
 -0.77927     0.05129825  0.202975    0.05294176 -0.58306926  0.41852
 -0.6748625   0.02492675  0.3206475  -0.11128001 -0.125294   -0.14175001
  0.07446499 -0.04857139  0.11972775 -0.19108    -0.400525    0.04055276
 -0.00906026 -0.00383     0.46056998  0.04532501]","['sku0050', 'sku0256', 'sku0640', 'sku0287', 'sku0689']",sku1313
Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream","Office Supplies Paper Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream","[-0.42732003  0.3522042   0.02670445 -0.30661842  0.21028668 -0.07077114
  0.10484756  0.17143822  0.11791401  0.20724477  0.3038442  -0.2316672
  0.03231688  0.1573978   0.02033155 -0.01326223  0.5892962   0.2281428
  0.22313663 -0.42965445 -0.01099322  0.11586566 -0.10461643  0.02558989
  0.08500554 -0.11822535  0.087738   -0.11857111 -0.12356     0.10342988
  0.3371131   0.26937112 -0.15262777  0.1075929  -0.20444787  0.2465351
 -0.05037922 -0.14323133  0.07658444 -0.24951355 -0.11690983 -0.3799121
 -0.22873656 -0.26989567 -0.1983511  -0.00304645 -0.35805887 -0.24999796
 -0.29539046 -0.08383445  0.25720868  0.2574426   0.24860321  0.500153
 -0.22320946 -1.1467417  -0.3142268   0.10825878  1.138267   -0.11821532
 -0.08326349  0.17151888 -0.48762995  0.13473889  0.40371078 -0.15843378
  0.36668     0.10791777  0.2497091  -0.0565052   0.02056073  0.4303659
  0.22369573 -0.00933333  0.21352476  0.40280885  0.25332224  0.23870389
 -0.82130665  0.19674255  0.19218081 -0.00622999 -0.42060325  0.20737487
 -0.64230686 -0.20392877  0.45795667 -0.36444068  0.03337766  0.14696999
  0.16518821  0.00247666  0.24277979  0.00729096 -0.27140045 -0.13672188
  0.17222865 -0.23990645  0.40586114  0.15686478]","['sku0423', 'sku0034', 'sku0395', 'sku1685', 'sku0962']",sku1315
Furniture,Furnishings,"Seth Thomas 12"" Clock w/ Goldtone Case","Furniture Furnishings Seth Thomas 12"" Clock w/ Goldtone Case","[-4.45932858e-02  1.37259424e-01 -5.73303038e-03 -2.27369145e-01
  2.31375713e-02  4.39020136e-04 -1.08579285e-01 -1.09223269e-01
 -3.73660713e-01 -1.48541406e-01  4.88974571e-01 -4.34672862e-01
 -7.91509971e-02  3.86836201e-01 -2.46237125e-02  8.94762799e-02
 -1.03959940e-01  1.88574404e-01 -4.72485691e-01 -1.59446716e-01
  2.06456450e-03 -5.60269617e-02  4.90102112e-01 -6.45285426e-03
  3.19409996e-01 -1.73128560e-01 -4.44031432e-02 -2.64105707e-01
 -4.41266000e-01  5.18984310e-02  1.19561002e-01  1.29552856e-01
  6.24135770e-02  1.01232849e-01 -1.77310988e-01  1.49110006e-02
 -1.18081436e-01 -4.12635989e-02  2.25275144e-01 -2.06286699e-01
  1.76645443e-01 -1.48905709e-01 -8.94785766e-03 -1.33090287e-01
 -3.54686260e-01 -1.09806433e-01 -1.72633305e-01 -2.32064992e-01
  4.13734883e-01 -2.48361424e-01  2.17235669e-01 -2.27664262e-01
  1.18927717e-01  2.42522001e-01  2.88792849e-02 -1.17662275e+00
 -3.32203120e-01  5.96814342e-02  7.06307113e-01  1.27656296e-01
 -5.50557300e-02  2.22021580e-01  3.02685704e-02  1.60676718e-01
  3.44675720e-01 -1.50780588e-01  5.49838603e-01  3.74222279e-01
 -2.17697591e-01  7.63506740e-02 -3.11803043e-01  1.06673308e-01
  6.69428483e-02 -1.92497149e-01  6.55889094e-01  3.44142737e-03
  1.04965568e-01 -1.19522713e-01 -4.10101861e-01  8.95371512e-02
  1.90585718e-01 -2.78804421e-01 -1.36868715e-01  1.99969023e-01
 -4.80951458e-01 -2.04446718e-01  6.76335692e-02 -3.97399724e-01
  1.21331438e-01 -3.34047854e-01  1.20348856e-01 -2.17577130e-01
  4.73891437e-01 -6.47210032e-02 -6.71937317e-02 -2.92797774e-01
  2.56391019e-01 -4.79366392e-01  4.16661412e-01 -2.26456061e-01]","['sku1631', 'sku0794', 'sku1480', 'sku0485', 'sku0569']",sku1316
Technology,Accessories,Memorex Froggy Flash Drive 8 GB,Technology Accessories Memorex Froggy Flash Drive 8 GB,"[-2.25043863e-01  8.25094357e-02 -3.31043336e-03 -3.96312445e-01
  3.00981998e-01 -1.70229971e-02  2.84313709e-01 -1.34285001e-04
  2.90549010e-01  2.10255593e-01  2.39745423e-01  3.79271433e-02
 -1.06179848e-01 -2.69400686e-01  1.26310721e-01  3.08800429e-01
 -4.77395654e-02  9.05951411e-02  1.19723573e-01  2.67294288e-01
 -8.33371356e-02 -2.80710012e-01  1.52990848e-01  3.42324302e-02
  3.76304299e-01  2.84212023e-01  4.91630062e-02  1.23462565e-01
  3.32347155e-02  2.72428598e-02  4.88957167e-02  5.27012885e-01
 -4.94547755e-01  2.35179998e-02 -5.30242920e-02  3.37685756e-02
  2.94648539e-02 -1.14101447e-01  2.89232582e-01 -2.36230984e-01
  2.54654437e-01 -2.92031288e-01  7.21477196e-02 -3.96931440e-01
 -2.64332145e-01  1.81539565e-01  5.52893639e-01  9.15628523e-02
  2.19748572e-01 -1.47974417e-01 -3.38293314e-01  1.81970000e-01
 -1.02490887e-01  1.64845988e-01  1.47150010e-01 -7.33599961e-01
 -1.81684151e-01  3.11021417e-01  8.08504224e-01 -3.60529989e-01
  8.37861449e-02  1.12828858e-01 -2.55147159e-01  2.77378857e-01
  3.26124281e-02 -3.98929901e-02  1.38340011e-01 -3.65963846e-01
  4.08317566e-01  3.32128666e-02  9.23249200e-02  3.66005078e-02
  8.31541419e-02 -7.58099556e-02  7.08628669e-02  3.45645696e-01
  3.73837143e-01  1.05914287e-01 -1.50195718e-01  7.96047077e-02
  2.47286841e-01 -1.54939974e-02 -2.02505156e-01 -7.33066946e-02
 -4.67441887e-01  4.43991989e-01  3.49441022e-01  9.69785601e-02
  1.57426000e-01  2.14460582e-01 -9.73100141e-02  5.80109715e-01
  2.20654324e-01 -6.85457140e-02  1.82071421e-02 -1.79819986e-01
  1.54663712e-01 -2.03276008e-01  7.15915740e-01 -1.32418424e-01]","['sku0104', 'sku1087', 'sku0199', 'sku0428', 'sku1766']",sku1318
